DATE,PERMIT,HOUSE_SUPPLY,HOUST,CON_SPENDING,PRICE,HOUSE_SOLD
2002-01-01,1665.0,4.2,1698.0,382979,117.143,880.0
2002-02-01,1787.0,4.0,1829.0,391434,117.844,948.0
2002-03-01,1691.0,4.1,1642.0,390942,118.687,923.0
2002-04-01,1669.0,4.3,1592.0,404255,119.611,936.0
2002-05-01,1716.0,4.0,1764.0,399164,120.724,978.0
2002-06-01,1758.0,4.2,1717.0,407305,121.813,957.0
2002-07-01,1738.0,4.2,1655.0,410171,122.888,956.0
2002-08-01,1695.0,4.0,1633.0,404055,123.831,1014.0
2002-09-01,1803.0,3.9,1804.0,400059,124.78,1044.0
2002-10-01,1799.0,4.0,1648.0,402091,125.734,1006.0
2002-11-01,1771.0,4.0,1753.0,406609,126.669,1024.0
2002-12-01,1896.0,4.0,1788.0,416844,127.622,1048.0
2003-01-01,1808.0,4.0,1853.0,423049,128.461,999.0
2003-02-01,1854.0,4.5,1629.0,422705,129.355,936.0
2003-03-01,1757.0,4.1,1726.0,418232,130.148,999.0
2003-04-01,1803.0,4.1,1643.0,425493,130.884,1012.0
2003-05-01,1835.0,3.9,1751.0,426270,131.735,1078.0
2003-06-01,1875.0,3.5,1867.0,436163,132.649,1193.0
2003-07-01,1885.0,3.6,1897.0,454040,133.776,1168.0
2003-08-01,1966.0,3.5,1833.0,458676,134.968,1206.0
2003-09-01,1961.0,3.8,1939.0,463954,136.29399999999998,1131.0
2003-10-01,2012.0,3.8,1967.0,475234,137.532,1144.0
2003-11-01,1918.0,4.1,2083.0,490441,138.79399999999998,1093.0
2003-12-01,1987.0,4.0,2057.0,508637,140.18,1129.0
2004-01-01,1952.0,3.8,1911.0,503659,141.64600000000002,1165.0
2004-02-01,1966.0,3.7,1846.0,505081,143.192,1159.0
2004-03-01,2066.0,3.6,1998.0,511829,145.059,1276.0
2004-04-01,2070.0,4.0,2003.0,517912,146.592,1186.0
2004-05-01,2150.0,3.8,1981.0,528180,148.185,1241.0
2004-06-01,2020.0,3.9,1828.0,533358,149.85,1180.0
2004-07-01,2112.0,4.5,2002.0,549031,151.338,1088.0
2004-08-01,2056.0,4.3,2024.0,557411,152.63299999999998,1175.0
2004-09-01,2041.0,4.1,1905.0,552375,154.179,1214.0
2004-10-01,2097.0,3.9,2072.0,556425,155.751,1305.0
2004-11-01,2079.0,4.3,1782.0,555944,157.52700000000002,1179.0
2004-12-01,2082.0,4.1,2042.0,571871,159.33,1242.0
2005-01-01,2139.0,4.4,2144.0,581168,161.28799999999998,1203.0
2005-02-01,2114.0,4.3,2207.0,594003,163.344,1319.0
2005-03-01,2062.0,4.1,1864.0,597200,165.812,1328.0
2005-04-01,2150.0,4.3,2061.0,603975,167.50099999999998,1260.0
2005-05-01,2085.0,4.2,2025.0,609170,169.351,1286.0
2005-06-01,2178.0,4.3,2068.0,622726,171.19,1274.0
2005-07-01,2203.0,4.2,2054.0,634572,172.86,1389.0
2005-08-01,2219.0,4.5,2095.0,639501,174.44,1255.0
2005-09-01,2263.0,4.7,2151.0,652748,176.437,1244.0
